ISSN,Field,Journal Title,Publisher Name,Scopus,Web of Science™,AJG 2021,AJG 2018,AJG 2015,ABS 2010,Journal Citation Reports™ rank,SNIPrank,SJRrank,CiteScore rank,Journal name,JCR Abbreviation,ISSN.y,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles,eISSN,ISSN.x
1758-4205,ACCOUNT,"Accounting, Auditing and Accountability Journal",Emerald,scopus,WoS,3,3,3,3,,13,9,6,Accounting Auditing & Accountability Journal,ACCOUNT AUDIT ACCOUN,0951-3574,"BUSINESS, FINANCE - SSCI",7052,4.893,1.59,11.18%,18/111,5.701,Q1,3.762,1.233,20/221,Q1,91.18,0.004,0.776,0.916,84.23,Q1,Q2,116,97.41%,8.7,9.8,113,NA,NA
1558-7991,ACCOUNT,Auditing,American Accounting Association,scopus,WoS,3,3,3,2,7,7,7,8,AUDITING-A JOURNAL OF PRACTICE & THEORY,AUDITING-J PRACT TH,0278-0380,"BUSINESS, FINANCE - SSCI",3898,3.076,1.06,0%,46/111,4.016,Q2,2.937,0.524,49/221,Q1,78.05,0.003,0.575,1.506,59.01,Q2,Q1,21,100%,10.4,11.5,21,NA,NA
1558-8009,ACCOUNT,Behavioral Research in Accounting,American Accounting Association,scopus,,3,3,3,3,,27,24,32,Behavioral Research in Accounting,BEHAV RES ACCOUNT,1050-4753,"BUSINESS, FINANCE - ESCI",678,NA,0.81,0%,NA,NA,NA,NA,NA,78/221,Q2,64.93,0.001,0.163,1.053,NA,NA,Q1,6,100%,9.3,10.7,6,NA,NA
1095-8347,ACCOUNT,British Accounting Review,Elsevier,scopus,WoS,3,3,3,3,,9,18,9,British Accounting Review,BRIT ACCOUNT REV,0890-8389,"BUSINESS, FINANCE - SSCI",3094,4.761,1.93,3.6%,19/111,6.684,Q1,4.592,1.625,13/221,Q1,94.34,0.002,0.405,1.16,83.33,Q1,Q2,40,100%,7.5,13,40,NA,NA
1095-9955,ACCOUNT,Critical Perspectives on Accounting,Elsevier,scopus,WoS,3,3,3,3,,14,10,10,Critical Perspectives on Accounting,CRIT PERSPECT ACCOUN,1045-2354,"BUSINESS, FINANCE - SSCI",3660,5.538,1.75,7.21%,13/111,5.096,Q1,4.954,3.37,17/221,Q1,92.53,0.002,0.376,1.04,88.74,Q1,Q2,46,100%,8.4,12.5,46,NA,NA
1468-4497,ACCOUNT,European Accounting Review,Taylor & Francis,scopus,WoS,3,3,3,3,10,11,14,13,European Accounting Review,EUR ACCOUNT REV,0963-8180,"BUSINESS, FINANCE - SSCI",2613,2.845,1,17.26%,52/111,3.433,Q2,2.664,0.269,57/221,Q2,74.43,0.002,0.374,0.853,53.6,Q2,Q2,52,90.38%,11.2,11.7,47,NA,NA
1468-0408,ACCOUNT,Financial Accountability and Management,Wiley-Blackwell,scopus,,3,3,3,3,,,,,Financial Accountability & Management,FINANC ACCOUNT MANAG,0267-4424,"BUSINESS, FINANCE - ESCI",1151,NA,0.81,31.43%,NA,NA,NA,NA,NA,78/221,Q2,64.93,0.001,0.134,0.5,NA,NA,Q1,38,84.21%,8.6,10.4,32,NA,NA
1873-2070,ACCOUNT,Journal of Accounting and Public Policy,Elsevier,scopus,WoS,3,3,3,3,9,10,12,11,JOURNAL OF ACCOUNTING AND PUBLIC POLICY,J ACCOUNT PUBLIC POL,0278-4254,"BUSINESS, FINANCE - SSCI",3457,3.629,1.21,6.42%,35/111,5.096,Q1,3.419,0.426,36/221,Q1,83.94,0.002,0.334,1.122,68.92,Q2,Q2,47,97.87%,10.7,10.8,46,NA,NA
1468-5957,ACCOUNT,Journal of Business Finance and Accounting,Wiley-Blackwell,scopus,WoS,3,3,3,3,14,19,16,21,Journal of Business Finance & Accounting,J BUS FINAN ACCOUNT,0306-686X,"BUSINESS, FINANCE - SSCI",3537,2.709,0.89,7.47%,57/111,3.251,Q2,2.155,0.5,73/221,Q2,67.19,0.002,0.424,0.842,49.1,Q3,Q3,64,100%,12.1,12.4,64,NA,NA
1558-8017,ACCOUNT,Journal of the American Taxation Association,American Accounting Association,scopus,,3,3,3,,,41,13,39,Journal of the American Taxation Association,J AM TAX ASSOC,0198-9073,"BUSINESS, FINANCE - ESCI",572,NA,0.74,0%,NA,NA,NA,NA,NA,88/221,Q2,60.41,0.001,0.174,1.642,NA,NA,Q1,12,100%,8.5,10.5,12,NA,NA
1096-1224,ACCOUNT,Management Accounting Research,Elsevier,scopus,WoS,3,3,3,3,3,4,8,3,Management Accounting Research,MANAGE ACCOUNT RES,1044-5005,"BUSINESS, FINANCE - SSCI",2945,4.344,1.04,6.25%,24/111,5.925,Q1,4.094,0.5,53/221,Q1,76.24,0.001,0.24,1.263,78.83,Q1,Q2,16,100%,11.6,13.7,16,NA,NA
1467-629X,ACCOUNT,Accounting and Finance,Wiley-Blackwell,scopus,WoS,2,2,2,2,15,23,30,25,Accounting and Finance,ACCOUNT FINANC,0810-5391,"BUSINESS, FINANCE - SSCI",2884,2.473,0.92,1.5%,61/111,2.648,Q3,2.068,0.831,69/221,Q2,69,0.002,0.487,0.458,45.5,Q3,Q4,178,95.51%,4.9,10.7,170,NA,NA
1744-9499,ACCOUNT,Accounting in Europe,Taylor & Francis,scopus,,2,2,2,1,,45,39,41,Accounting in Europe,ACCOUNT EUR,1744-9480,"BUSINESS, FINANCE - ESCI",388,NA,0.73,11.36%,NA,NA,NA,NA,NA,91/221,Q2,59.05,0,0.086,0.443,NA,NA,Q1,13,100%,5.2,9.1,13,NA,NA
2152-2820,ACCOUNT,"Accounting, Economics and Law: A Convivium",Walter de Gruyter,scopus,,2,2,,,,,,,Accounting Economics and Law-A Convivium,ACCOUNT ECON LAW,2194-6051,"BUSINESS, FINANCE - ESCI",169,NA,0.39,3.08%,NA,NA,NA,NA,NA,160/221,Q3,27.83,0,0.018,0.105,NA,NA,Q4,35,100%,4.6,8.4,35,NA,NA
1046-5715,ACCOUNT,Advances in Accounting,Elsevier,scopus,,2,2,2,,,,,,Advances in Accounting,ADV ACCOUNT,0882-6110,"BUSINESS, FINANCE - ESCI",915,NA,0.57,1.49%,NA,NA,NA,NA,NA,117/221,Q3,47.29,0.001,0.109,0.337,NA,NA,Q2,23,100%,7.3,11.5,23,NA,NA
2164-2257,ACCOUNT,Asia-Pacific Journal of Accounting and Economics,Taylor & Francis,scopus,WoS,2,2,2,,19,51,52,50,Asia-Pacific Journal of Accounting & Economics,ASIA-PAC J ACCOUNT E,1608-1625,"BUSINESS, FINANCE - SSCI",545,1.137,0.37,1.39%,98/111,1.357,Q4,1.043,0.442,165/221,Q3,25.57,0,0.104,0.228,12.16,Q4,Q4,77,100%,4.6,11.8,77,NA,NA
1758-8863,ACCOUNT,Asian Review of Accounting,Emerald,scopus,,2,2,2,,,32,44,44,Asian Review of Accounting,ASIAN REV ACCOUNT,1321-7348,"BUSINESS, FINANCE - ESCI",540,NA,0.54,1.11%,NA,NA,NA,NA,NA,125/221,Q3,43.67,0,0.074,0.261,NA,NA,Q2,26,100%,5.8,10.7,26,NA,NA
1835-2561,ACCOUNT,Australian Accounting Review,Wiley-Blackwell,scopus,WoS,2,2,2,,17,37,29,38,Australian Accounting Review,AUST ACCOUNT REV,1035-6908,"BUSINESS, FINANCE - SSCI",1150,2.68,0.95,4.12%,58/111,2.631,Q3,2.613,1.682,62/221,Q2,72.17,0.001,0.14,0.391,48.2,Q3,Q4,22,86.36%,7.2,9.5,19,NA,NA
1755-3091,ACCOUNT,China Journal of Accounting Research,Elsevier,scopus,,2,2,,,,29,43,43,China Journal of Accounting Research,CHINA J ACCOUNT RES,1755-3091,"BUSINESS, FINANCE - ESCI",534,NA,0.93,100%,NA,NA,NA,NA,NA,68/221,Q2,69.46,0.001,0.115,0.6,NA,NA,Q1,22,100%,4.8,9.3,22,NA,NA
1936-1270,ACCOUNT,Current Issues in Auditing,American Accounting Association,scopus,,2,2,2,,,,,,Current Issues in Auditing,CURR ISS AUDIT,1936-1270,"BUSINESS, FINANCE - ESCI",183,NA,0.39,97.14%,NA,NA,NA,NA,NA,160/221,Q3,27.83,0,0.073,0.57,NA,NA,Q1,8,87.5%,6.2,7.8,7,NA,NA
1758-9037,ACCOUNT,International Journal of Accounting and Information Man- agement,Emerald,scopus,,2,2,2,,,35,41,34,International Journal of Accounting and Information Management,INT J ACCOUNT INF MA,1834-7649,MANAGEMENT - ESCI,819,NA,1.89,0.91%,NA,NA,NA,NA,NA,33/393,Q1,91.73,0.001,0.146,0.479,NA,NA,Q1,31,100%,2.7,10.7,31,NA,NA
1873-4723,ACCOUNT,International Journal of Accounting Information Systems,Elsevier,scopus,WoS,2,2,2,1,,12,25,14,International Journal of Accounting Information Systems,INT J ACCOUNT INF SY,1467-0895,BUSINESS - SSCI,1147,5.111,1.34,9.43%,75/154,5.698,Q2,4.778,0.824,61/296,Q1,79.56,0.001,0.193,1.1,51.62,Q2,Q2,17,100%,7.5,9.8,17,NA,NA
1099-1123,ACCOUNT,International Journal of Auditing,Wiley-Blackwell,scopus,WoS,2,2,2,2,,31,31,27,INTERNATIONAL JOURNAL OF AUDITING,INT J AUDIT,1090-6738,"BUSINESS, FINANCE - SSCI",1079,2.345,0.7,11.11%,64/111,2.649,Q3,2.055,0.543,97/221,Q2,56.33,0.001,0.144,0.527,42.79,Q3,Q3,35,88.57%,9,11.1,31,NA,NA
1746-6539,ACCOUNT,International Journal of Disclosure and Governance,Springer Nature,scopus,,2,2,2,,,47,53,48,International Journal of Disclosure and Governance,INT J DISCL GOV,1741-3591,MANAGEMENT - ESCI,330,NA,0.39,3.95%,NA,NA,NA,NA,NA,271/393,Q3,31.17,0,0.045,0.213,NA,NA,Q3,31,100%,5.8,10.6,31,NA,NA
2042-1176,ACCOUNT,Journal of Accounting in Emerging Economies,Emerald,scopus,,2,2,2,,,,,,Journal of Accounting in Emerging Economies,J ACCOUNT EMERG ECON,2042-1168,"BUSINESS, FINANCE - ESCI",675,NA,1.07,1.75%,NA,NA,NA,NA,NA,46/221,Q1,79.41,0.001,0.108,0.398,NA,NA,Q2,51,92.16%,3.6,9.6,47,NA,NA
1815-5669,ACCOUNT,Journal of Contemporary Accounting and Economics,Elsevier,scopus,WoS,2,2,2,,,30,34,28,Journal of Contemporary Accounting & Economics,J CONTEMP ACCOUNT EC,1815-5669,"BUSINESS, FINANCE - SSCI",807,2.944,0.94,5.95%,48/111,3.798,Q2,2.704,0.667,66/221,Q2,70.36,0.001,0.137,0.591,57.21,Q2,Q3,30,100%,5.4,11.8,30,NA,NA
1558-8025,ACCOUNT,Journal of International Accounting Research,American Accounting Association,scopus,,2,2,2,2,,33,32,37,Journal of International Accounting Research,J INT ACCOUNT RES,1542-6297,"BUSINESS, FINANCE - ESCI",389,NA,0.4,0%,NA,NA,NA,NA,NA,158/221,Q3,28.73,0,0.074,0.392,NA,NA,Q2,17,100%,6.7,11.7,17,NA,NA
1467-646X,ACCOUNT,Journal of International Financial Management and Ac- counting,Wiley-Blackwell,scopus,WoS,2,2,2,2,13,24,35,22,Journal of International Financial Management & Accounting,J INT FIN MANAG ACC,0954-1314,"BUSINESS, FINANCE - SSCI",679,2.808,0.79,9.3%,54/111,2.902,Q3,2.692,0.765,81/221,Q2,63.57,0,0.058,0.467,51.8,Q2,Q4,17,100%,10.3,9.3,17,NA,NA
1558-8033,ACCOUNT,Journal of Management Accounting Research,American Accounting Association,scopus,,2,2,2,2,,36,19,33,Journal of Management Accounting Research,J MANAG ACCOUNT RES,1049-2127,"BUSINESS, FINANCE - ESCI",879,NA,0.68,0%,NA,NA,NA,NA,NA,101/221,Q2,54.52,0.001,0.215,0.848,NA,NA,Q1,29,96.55%,7.3,13.2,28,NA,NA
2059-190X,ACCOUNT,Journal of Tax Administration,Tax Administration Research Centre,,,2,2,,,,,,,Journal of Tax Administration,J TAX ADM,2059-190X,"BUSINESS, FINANCE - ESCI",48,NA,0.14,0%,NA,NA,NA,NA,NA,202/221,Q4,8.82,0,0.025,0.207,NA,NA,Q3,8,100%,NA,6.4,8,NA,NA
1758-7735,ACCOUNT,Managerial Auditing Journal,Emerald,scopus,WoS,2,2,2,1,,26,40,30,Managerial Auditing Journal,MANAG AUDIT J,0268-6902,"BUSINESS, FINANCE - SSCI",2307,2.388,0.7,1.32%,62/111,2.934,Q3,2.071,0.321,97/221,Q2,56.33,0.001,0.168,0.386,44.59,Q3,Q4,53,100%,10.9,10.9,53,NA,NA
1758-7654,ACCOUNT,Qualitative Research in Accounting and Management,Emerald,scopus,WoS,2,2,2,1,,38,33,24,Qualitative Research in Accounting and Management,QUAL RES ACCOUNT MAN,1176-6093,"BUSINESS, FINANCE - SSCI",661,1.604,0.48,6.58%,86/111,1.956,Q3,1.377,0.174,143/221,Q3,35.52,0,0.077,0.335,22.97,Q4,Q4,23,95.65%,8.2,10.7,22,NA,NA
2040-803X,ACCOUNT,"Sustainability Accounting, Management and Policy Journal",Emerald,scopus,WoS,2,2,2,,,42,27,20,Sustainability Accounting Management and Policy Journal,SUSTAIN ACCOUNT MANA,2040-8021,"BUSINESS, FINANCE - SSCI",1372,3.964,0.95,3.85%,34/111,4.695,Q2,3.636,0.804,62/221,Q2,72.17,0.001,0.22,0.576,69.82,Q2,Q3,46,97.83%,4.7,8.7,45,NA,NA
1543-866X,ACCOUNT,ATA Journal of Legal Tax Research,American Accounting Association,scopus,,1,1,1,,,62,62,62,ATA Journal of Legal Tax Research,ATA J LEG TAX RES,1543-866X,"BUSINESS, FINANCE - ESCI",7,NA,0.07,0%,NA,NA,NA,NA,NA,212/221,Q4,4.3,0,0,0.002,NA,NA,Q4,4,100%,NA,NA,4,NA,NA
1834-2019,ACCOUNT,"Australasian Accounting, Business and Finance Journal",University of Wollongong,scopus,,1,1,1,,,48,60,54,Australasian Accounting Business and Finance Journal,AUSTRALAS ACCOUNT BU,1834-2000,"BUSINESS, FINANCE - ESCI",475,NA,0.62,80.65%,NA,NA,NA,NA,NA,112/221,Q3,49.55,0,0.059,0.216,NA,NA,Q3,31,100%,5.3,12.1,31,NA,NA
1558-7959,ACCOUNT,Journal of Information Systems,American Accounting Association,scopus,,1,1,1,,,18,20,17,JOURNAL OF INFORMATION SYSTEMS,J INF SYST,0888-7985,"BUSINESS, FINANCE - SSCI",1003,2.308,0.77,0%,68/111,3.582,Q2,1.815,0.273,82/221,Q2,63.12,0.001,0.249,1.001,39.19,Q3,Q2,22,95.45%,6.7,9.6,21,NA,NA
2049-3738,ACCOUNT,Meditari Accountancy Research,Emerald,scopus,,1,1,1,,,,,,Meditari Accountancy Research,MEDITARI ACCOUNT RES,2049-372X,"BUSINESS, FINANCE - ESCI",1387,NA,1.2,7.85%,NA,NA,NA,NA,NA,37/221,Q1,83.48,0.001,0.216,0.477,NA,NA,Q1,110,97.27%,3.6,7.9,107,NA,NA
2041-5494,ACCOUNT,Pacific Accounting Review,Emerald,scopus,,1,1,1,,,,,,Pacific Accounting Review,PAC ACCOUNT REV,0114-0582,"BUSINESS, FINANCE - ESCI",645,NA,0.68,1.82%,NA,NA,NA,NA,NA,101/221,Q2,54.52,0,0.09,0.301,NA,NA,Q2,46,97.83%,5,10,45,NA,NA
1988-4672,ACCOUNT,Revista de Contabilidad-Spanish Accounting Review,Elsevier,scopus,WoS,1,1,1,,,,,,Revista de Contabilidad-Spanish Accounting Review,REV CONTAB,1138-4891,"BUSINESS, FINANCE - SSCI",395,2.342,0.86,94.83%,66/111,2.15,Q3,2.237,0.6,74/221,Q2,66.74,0,0.068,0.333,40.99,Q3,Q4,20,100%,5.5,11,20,NA,NA
2332-0753,ACCOUNT,Revista Espanola de Financiacion y Contabilidad,Taylor & Francis,scopus,WoS,1,1,1,,18,52,49,49,Spanish Journal of Finance and Accounting-Revista Espanola de Financiacion y Contabilidad,SPAN J FINANC ACCOUN,0210-2412,"BUSINESS, FINANCE - SSCI",339,1.615,0.51,1.37%,85/111,1.45,Q4,1.385,0.048,136/221,Q3,38.69,0,0.04,0.177,23.87,Q4,Q4,21,100%,6.6,11.8,21,NA,NA
2376-3981,ACCOUNT,South African Journal of Accounting Research,Taylor & Francis,scopus,,1,1,,NA,NA,NA,NA,NA,South African Journal of Accounting Research,S AFR J ACCOUNT RES,1029-1954,"BUSINESS, FINANCE - ESCI",109,NA,0.44,6.52%,NA,NA,NA,NA,NA,151/221,Q3,31.9,0,0.021,0.142,NA,NA,Q3,13,92.31%,4.4,6.4,12,NA,NA
1743-7938,BUS HIST & ECON  HIST,Business History,Taylor & Francis,scopus,WoS,4,3,3,4,6,8,5,5,BUSINESS HISTORY,BUS HIST,0007-6791,BUSINESS - SSCI,1383,0.8,0.68,15.33%,150/154,1.224,Q4,0.605,0.484,137/296,Q2,53.89,0.002,0.407,0.552,2.92,Q4,Q4,95,97.89%,8.3,18.4,93,NA,NA
2044-768X,BUS HIST & ECON  HIST,Business History Review,Cambridge University Press,scopus,WoS,4,4,4,3,5,6,8,9,BUSINESS HISTORY REVIEW,BUS HIST REV,0007-6805,BUSINESS - SSCI,822,1.5,0.71,5.8%,139/154,1.704,Q4,1.405,0.037,130/296,Q2,56.25,0.001,0.226,1.131,10.06,Q4,Q2,27,85.19%,14.8,21.7,23,NA,NA
1468-0289,BUS HIST & ECON  HIST,Economic History Review,Wiley-Blackwell,scopus,WoS,4,4,4,4,2,1,2,1,ECONOMIC HISTORY REVIEW,ECON HIST REV,0013-0117,ECONOMICS - SSCI,2342,2.487,3.25,22.56%,158/381,2.157,Q3,2,0.286,7/572,Q1,98.86,0.004,0.928,1.79,58.66,Q2,Q1,49,100%,13,21.6,49,NA,NA
1467-2235,BUS HIST & ECON  HIST,Enterprise and Society,Cambridge University Press,scopus,WoS,3,3,3,3,8,7,13,15,ENTERPRISE & SOCIETY,ENTERP SOC,1467-2227,BUSINESS - SSCI,437,0.844,0.54,19.4%,148/154,0.827,Q4,0.641,0.086,171/296,Q3,42.4,0.001,0.22,0.718,4.22,Q4,Q3,70,100%,9,19.1,70,NA,NA
1474-0044,BUS HIST & ECON  HIST,European Review of Economic History,Oxford University Press,scopus,WoS,3,3,3,1,4,5,4,4,European Review of Economic History,EUR REV ECON HIST,1361-4916,ECONOMICS - SSCI,781,1.706,1.04,14.61%,239/381,1.833,Q3,1.51,0.421,130/572,Q1,77.36,0.001,0.311,1.411,37.4,Q3,Q2,38,94.74%,10.7,15.6,36,NA,NA
1090-2457,BUS HIST & ECON  HIST,Explorations in Economic History,Elsevier,scopus,WoS,3,3,3,3,3,3,3,3,EXPLORATIONS IN ECONOMIC HISTORY,EXPLOR ECON HIST,0014-4983,ECONOMICS - SSCI,1370,1.857,1.54,12.5%,208/381,2.295,Q2,1.673,1.522,68/572,Q1,88.2,0.003,0.661,2.455,45.54,Q3,Q1,23,100%,11.6,15.1,23,NA,NA
1471-6372,BUS HIST & ECON  HIST,Journal of Economic History,Cambridge University Press,scopus,WoS,3,3,3,3,1,2,1,2,JOURNAL OF ECONOMIC HISTORY,J ECON HIST,0022-0507,ECONOMICS - SSCI,2993,2.459,3.74,19.15%,161/381,3.116,Q2,2.328,0.455,3/572,Q1,99.56,0.005,1.035,3.273,57.87,Q2,Q1,33,100%,21.5,17.5,33,NA,NA
2327-4468,BUS HIST & ECON  HIST,Accounting Historians Journal,American Accounting Association,scopus,,2,2,2,NA,NA,22,20,14,Accounting Historians Journal,ACCOUNT HIST J,0148-4184,"BUSINESS, FINANCE - ESCI",243,NA,0.3,0%,NA,NA,NA,NA,NA,177/221,Q4,20.14,0,0.026,0.2,NA,NA,Q3,10,100%,16.4,31,10,NA,NA
1749-3374,BUS HIST & ECON  HIST,Accounting History,SAGE,scopus,,2,2,2,2,NA,16,12,7,Accounting History,ACCOUNT HIST,1032-3732,"BUSINESS, FINANCE - ESCI",537,NA,0.55,10.11%,NA,NA,NA,NA,NA,123/221,Q3,44.57,0,0.081,0.306,NA,NA,Q2,25,92%,9.2,19.2,23,NA,NA
2155-286X,BUS HIST & ECON  HIST,Accounting History Review,Taylor & Francis,scopus,,2,2,2,2,NA,NA,NA,NA,Accounting History Review,ACCOUNT HIST REV,2155-2851,BUSINESS - ESCI,125,NA,0.28,0%,NA,NA,NA,NA,NA,225/296,Q4,24.16,0,0.059,0.496,NA,NA,Q1,7,100%,5.7,27.1,7,NA,NA
1467-8446,BUS HIST & ECON  HIST,Australian Economic History Review,Wiley-Blackwell,scopus,WoS,2,2,2,NA,9,18,19,19,AUSTRALIAN ECONOMIC HISTORY REVIEW,AUST ECON HIST REV,0004-8992,ECONOMICS - SSCI,170,0.677,0.46,7.69%,350/381,0.679,Q4,0.613,0.143,328/572,Q3,42.74,0,0.073,0.456,8.27,Q4,Q3,21,100%,9.8,18.8,21,NA,NA
1863-2513,BUS HIST & ECON  HIST,Cliometrica,Springer Nature,scopus,WoS,2,2,2,NA,7,11,6,6,Cliometrica,CLIOMETRICA,1863-2505,ECONOMICS - SSCI,284,1.583,2.48,19.12%,248/381,1.763,Q3,1.479,0.55,18/572,Q1,96.94,0.001,0.269,1.42,35.04,Q3,Q2,20,100%,4.5,18.3,20,NA,NA
1469-5936,BUS HIST & ECON  HIST,European Journal of the History of Economic Thought,Taylor & Francis,scopus,WoS,2,2,2,2,NA,10,7,17,European Journal of the History of Economic Thought,EUR J HIST ECON THOU,0967-2567,ECONOMICS - SSCI,394,0.514,0.42,4.26%,363/381,0.584,Q4,0.449,0.176,351/572,Q3,38.72,0.001,0.192,0.388,4.86,Q4,Q4,34,100%,8.8,33.7,34,NA,NA
1474-0052,BUS HIST & ECON  HIST,Financial History Review,Cambridge University Press,scopus,,2,2,2,2,NA,15,17,16,Financial History Review,FINANC HIST REV,0968-5650,HISTORY OF SOCIAL SCIENCES - ESCI,199,NA,0.76,23.21%,NA,NA,NA,NA,NA,18/38,Q2,53.95,0,0.088,0.527,NA,NA,Q1,17,100%,9.2,21.6,17,NA,NA
1469-9656,BUS HIST & ECON  HIST,Journal of the History of Economic Thought,Cambridge University Press,scopus,WoS,2,2,2,NA,NA,9,10,13,Journal of the History of Economic Thought,J HIST ECON THOUGHT,1053-8372,HISTORY - AHCI,319,0.583,1.28,2.67%,NA,0.653,NA,0.583,0.444,92/494,Q1,81.48,0.001,0.142,0.589,NA,NA,Q2,27,100%,11.4,33.9,27,NA,NA
1759-3999,BUS HIST & ECON  HIST,Journal of Transport History,SAGE,scopus,,2,2,2,2,NA,21,23,22,Journal of Transport History,J TRANSP HIST,0022-5266,HISTORY - ESCI,155,NA,1.26,9.84%,NA,NA,NA,NA,NA,94/494,Q1,81.07,0,0.08,0.427,NA,NA,Q1,12,100%,10.3,16.4,12,NA,NA
